0009000000000000, 0009000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0011000000000000, 0011000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0027000000000000, 0006000000000000
0026000000000000, 0026000000000000, 0013000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0038000000000000, 0036000000000000, 0015000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0229000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 021D000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03D1000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 016B000000000000
0019000000000000, 0019000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 002D000000000000, 000C000000000000
000F000000000000, 000F000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 001C000000000000, 0006000000000000
000F000000000000, 000F000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0023000000000000, 0028000000000000, 0003000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 008E000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0014000000000000, 0013000000000000, 0002000000000000
0019000000000000, 0019000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0030000000000000, 000C000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0382000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 014E000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0021000000000000, 001B000000000000, 0007000000000000
0004000000000000, 0004000000000000, 0002000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 000C000000000000, 000C000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0132000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0015000000000000, 0015000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0024000000000000, 002A000000000000, 000A000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0006000000000000, 0006000000000000, 000C000000000000, 0007000000000000, 0007000000000000, 0000000000000000, 0015000000000000, 0011000000000000, 000F000000000000
001D000000000000, 001D000000000000, 000E000000000000, 0000000000000000, 0006000000000000, 0000000000000000, 0057000000000000, 0054000000000000, 0000000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 03D5000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 01AD000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0017000000000000, 0017000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0028000000000000, 000A000000000000
0027000000000000, 0027000000000000, 0013000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 003F000000000000, 003D000000000000, 0014000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0335000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01B9000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
0012000000000000, 0012000000000000, 000B000000000000, 0003000000000000, 0001000000000000, 0000000000000000, 001E000000000000, 0019000000000000, 0007000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 038A000000000000, 0400000000000000, 0157000000000000, 0116000000000000, 0189000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 00A5000000000000, 0000000000000000, 000C000000000000, 000E000000000000, 0003000000000000
001E000000000000, 001E000000000000, 000F000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 003D000000000000, 0046000000000000, 000A000000000000
0009000000000000, 0009000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000
0015000000000000, 0015000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0028000000000000, 002E000000000000, 0008000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0297000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0006000000000000, 0006000000000000, 0027000000000000, 000F000000000000, 0001000000000000, 0000000000000000, 0017000000000000, 0012000000000000, 0024000000000000
0041000000000000, 0041000000000000, 00FE000000000000, 006C000000000000, 0007000000000000, 0000000000000000, 0079000000000000, 0061000000000000, 0088000000000000
0003000000000000, 0003000000000000, 0016000000000000, 0008000000000000, 0001000000000000, 0000000000000000, 0010000000000000, 000C000000000000, 0018000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0062000000000000, 0062000000000000, 008C000000000000, 005F000000000000, 0007000000000000, 0000000000000000, 0082000000000000, 006A000000000000, 0072000000000000
002B000000000000, 002B000000000000, 0015000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0044000000000000, 0041000000000000, 0017000000000000
0017000000000000, 0017000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0028000000000000, 000A000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 034C000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 016B000000000000
0006000000000000, 0006000000000000, 0004000000000000, 0002000000000000, 0007000000000000, 0000000000000000, 0011000000000000, 000E000000000000, 0004000000000000
0149000000000000, 0149000000000000, 0180000000000000, 007F000000000000, 0007000000000000, 0000000000000000, 0222000000000000, 01AA000000000000, 00FF000000000000
000B000000000000, 000B000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 001A000000000000, 0002000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03EC000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0128000000000000
001B000000000000, 001B000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0033000000000000, 003B000000000000, 000A000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0020000000000000, 0006000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 01BB000000000000, 0000000000000000, 0267000000000000, 020B000000000000, 0164000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 0024000000000000, 0008000000000000
001A000000000000, 001A000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002E000000000000, 0035000000000000, 000B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0396000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
006E000000000000, 006E000000000000, 008E000000000000, 0068000000000000, 0007000000000000, 0000000000000000, 007A000000000000, 0064000000000000, 0073000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0135000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
00B1000000000000, 00B1000000000000, 00F7000000000000, 008C000000000000, 0007000000000000, 0000000000000000, 00D3000000000000, 00AC000000000000, 00AF000000000000
0050000000000000, 0050000000000000, 0080000000000000, 0053000000000000, 0001000000000000, 0000000000000000, 009F000000000000, 0089000000000000, 0070000000000000
0013000000000000, 0013000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 0019000000000000, 0008000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03B7000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 01BB000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03EF000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 001B000000000000, 0006000000000000
00E5000000000000, 00E5000000000000, 016E000000000000, 0053000000000000, 0007000000000000, 0000000000000000, 0196000000000000, 0138000000000000, 00AF000000000000
0013000000000000, 0013000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0021000000000000, 0026000000000000, 0008000000000000
00C7000000000000, 00C7000000000000, 017D000000000000, 009A000000000000, 0007000000000000, 0000000000000000, 012F000000000000, 00EC000000000000, 00DE000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 01BD000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 023B000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03CB000000000000, 0400000000000000, 00D2000000000000, 00BB000000000000, 0091000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0026000000000000, 002B000000000000, 0008000000000000
001B000000000000, 001B000000000000, 0028000000000000, 001E000000000000, 0001000000000000, 0000000000000000, 004B000000000000, 003E000000000000, 0031000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 01C8000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0377000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0214000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0396000000000000, 0400000000000000, 01FC000000000000, 01A1000000000000, 01F4000000000000
000C000000000000, 000C000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0018000000000000, 0017000000000000, 0005000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03DA000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 01A8000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
000F000000000000, 000F000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001A000000000000, 0018000000000000, 0005000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0351000000000000, 0400000000000000, 01FC000000000000, 01A1000000000000, 0285000000000000
0071000000000000, 0071000000000000, 0100000000000000, 0071000000000000, 0007000000000000, 0000000000000000, 00A6000000000000, 0084000000000000, 008D000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0391000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 001C000000000000, 0008000000000000
010C000000000000, 010C000000000000, 017D000000000000, 0061000000000000, 0001000000000000, 0000000000000000, 01CA000000000000, 0162000000000000, 00CD000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0026000000000000, 002B000000000000, 0008000000000000
000A000000000000, 000A000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0019000000000000, 0017000000000000, 0002000000000000
000B000000000000, 000B000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0017000000000000, 0016000000000000, 0003000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0354000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
000D000000000000, 000D000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 0018000000000000, 0003000000000000
0016000000000000, 0016000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0028000000000000, 0027000000000000, 000A000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0023000000000000, 0021000000000000, 0007000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0014000000000000, 0013000000000000, 0002000000000000
0018000000000000, 0018000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 002D000000000000, 000C000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001F000000000000, 0003000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 002D000000000000, 0007000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0001000000000000, 0001000000000000, 0001000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 037E000000000000, 0000000000000000, 0267000000000000, 020C000000000000, 01CD000000000000
0130000000000000, 0130000000000000, 017D000000000000, 0096000000000000, 0007000000000000, 0000000000000000, 0218000000000000, 01A4000000000000, 010A000000000000
0013000000000000, 0013000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0026000000000000, 0024000000000000, 0008000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0388000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 01AC000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 035E000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01F7000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0028000000000000, 0028000000000000, 0014000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0039000000000000, 0041000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0022000000000000, 0022000000000000, 0011000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0033000000000000, 0031000000000000, 0013000000000000
001E000000000000, 001E000000000000, 0056000000000000, 0028000000000000, 0000000000000000, 0000000000000000, 0041000000000000, 0033000000000000, 0036000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03BA000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0017000000000000, 0017000000000000, 000C000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0031000000000000, 002F000000000000, 0008000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 00A2000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0013000000000000, 0013000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0024000000000000, 0029000000000000, 0008000000000000
0035000000000000, 0035000000000000, 0083000000000000, 0046000000000000, 0007000000000000, 0000000000000000, 009D000000000000, 007B000000000000, 00CD000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0022000000000000, 0021000000000000, 0005000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001F000000000000, 001B000000000000, 0003000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0393000000000000, 0000000000000000, 0267000000000000, 020C000000000000, 01B8000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0372000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 0157000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 033C000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0140000000000000, 0140000000000000, 00FE000000000000, 0067000000000000, 0007000000000000, 0000000000000000, 01F8000000000000, 0188000000000000, 00EB000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0290000000000000, 0000000000000000, 020E000000000000, 019B000000000000, 00EA000000000000
000F000000000000, 000F000000000000, 0009000000000000, 0004000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001F000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03CB000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0172000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0097000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
000B000000000000, 000B000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 001A000000000000, 0002000000000000
002D000000000000, 002D000000000000, 009C000000000000, 0050000000000000, 0001000000000000, 0000000000000000, 004F000000000000, 003F000000000000, 0062000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0371000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0124000000000000, 0124000000000000, 0180000000000000, 0099000000000000, 0007000000000000, 0000000000000000, 01BF000000000000, 015E000000000000, 00FE000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0262000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0052000000000000, 0052000000000000, 00B8000000000000, 0073000000000000, 0001000000000000, 0000000000000000, 0088000000000000, 006E000000000000, 008B000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0360000000000000, 0000000000000000, 0301000000000000, 02A1000000000000, 0377000000000000
00B8000000000000, 00B8000000000000, 00ED000000000000, 0070000000000000, 0007000000000000, 0000000000000000, 0128000000000000, 00EE000000000000, 00AC000000000000
0013000000000000, 0013000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0025000000000000, 002B000000000000, 0007000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0002000000000000, 0001000000000000, 0001000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03F8000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0046000000000000, 0046000000000000, 007F000000000000, 0049000000000000, 0007000000000000, 0000000000000000, 007B000000000000, 0063000000000000, 0060000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 011C000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 021A000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0037000000000000, 0037000000000000, 0080000000000000, 0044000000000000, 0007000000000000, 0000000000000000, 005E000000000000, 004A000000000000, 0058000000000000
0013000000000000, 0013000000000000, 000C000000000000, 0006000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 0025000000000000, 0008000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 001B000000000000, 0005000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0357000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 02F1000000000000, 0000000000000000, 0002000000000000, 0002000000000000, 0001000000000000
0053000000000000, 0053000000000000, 0080000000000000, 004F000000000000, 0007000000000000, 0000000000000000, 0099000000000000, 007D000000000000, 0069000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0390000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 014F000000000000
000B000000000000, 000B000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001B000000000000, 001A000000000000, 0002000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0364000000000000, 0000000000000000, 000C000000000000, 000E000000000000, 0003000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0334000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01F7000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0269000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 01C9000000000000
0029000000000000, 0029000000000000, 0052000000000000, 003A000000000000, 0001000000000000, 0000000000000000, 0065000000000000, 0059000000000000, 004F000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0316000000000000, 0000000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0156000000000000, 0156000000000000, 017D000000000000, 0075000000000000, 0007000000000000, 0000000000000000, 0246000000000000, 01C0000000000000, 0100000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0318000000000000, 0000000000000000, 0300000000000000, 02A1000000000000, 0244000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0376000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0367000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0180000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0014000000000000, 0013000000000000, 0002000000000000
001E000000000000, 001E000000000000, 000F000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 003E000000000000, 0047000000000000, 000A000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0050000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0184000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0322000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0006000000000000, 0006000000000000, 0003000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0098000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0001000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0013000000000000, 0013000000000000, 0025000000000000, 001A000000000000, 0001000000000000, 0000000000000000, 004A000000000000, 0041000000000000, 003B000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0109000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
000C000000000000, 000C000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001A000000000000, 0019000000000000, 0004000000000000
000A000000000000, 000A000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0019000000000000, 0018000000000000, 0002000000000000
000C000000000000, 000C000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 001A000000000000, 0003000000000000
001D000000000000, 001D000000000000, 0056000000000000, 0028000000000000, 0000000000000000, 0000000000000000, 003D000000000000, 002F000000000000, 0035000000000000
000B000000000000, 000B000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0016000000000000, 0015000000000000, 0004000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0328000000000000, 0000000000000000, 0267000000000000, 020C000000000000, 01CF000000000000
0074000000000000, 0074000000000000, 00FB000000000000, 008B000000000000, 0007000000000000, 0000000000000000, 008C000000000000, 0072000000000000, 0096000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0002000000000000, 0000000000000000, 0072000000000000, 005E000000000000, 0000000000000000
0095000000000000, 0095000000000000, 0100000000000000, 00AF000000000000, 0007000000000000, 0000000000000000, 009E000000000000, 0083000000000000, 00AD000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0099000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0341000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 01A0000000000000
0159000000000000, 0159000000000000, 017D000000000000, 0082000000000000, 0007000000000000, 0000000000000000, 0240000000000000, 01BE000000000000, 010B000000000000
0014000000000000, 0014000000000000, 000A000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0027000000000000, 002D000000000000, 0008000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0353000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0164000000000000, 0400000000000000, 00D2000000000000, 00BB000000000000, 0091000000000000
0097000000000000, 0097000000000000, 0094000000000000, 005C000000000000, 0007000000000000, 0000000000000000, 0139000000000000, 00FA000000000000, 00A8000000000000
010A000000000000, 010A000000000000, 0180000000000000, 0085000000000000, 0007000000000000, 0000000000000000, 01A6000000000000, 014D000000000000, 00E5000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0395000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0128000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0303000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0295000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0023000000000000, 0023000000000000, 0011000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002D000000000000, 0028000000000000, 0011000000000000
0026000000000000, 0026000000000000, 004B000000000000, 0036000000000000, 0001000000000000, 0000000000000000, 0056000000000000, 004B000000000000, 0045000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03C7000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0376000000000000, 0400000000000000, 019C000000000000, 0152000000000000, 01F7000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001D000000000000, 001C000000000000, 0008000000000000
0031000000000000, 0031000000000000, 0018000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0042000000000000, 004C000000000000, 001C000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0320000000000000, 0000000000000000, 0300000000000000, 02A1000000000000, 02A2000000000000
